Unnamed: 0,elapsed,batch_size,num_nodes,edge_prob,repeats,model_name,embed_dim,num_heads,dropout,results_path
0,0.0074489116668701,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074434280395507,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074410438537597,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074172019958496,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074095726013183,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074100494384765,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073966979980468,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073990821838378,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074048042297363,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074105262756347,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074031352996826,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073904991149902,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073847770690917,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074036121368408,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073969364166259,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074009895324707,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073895454406738,1,200,0.05,100,ET,64,2,0.0,./
0,0.0074086189270019,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073881149291992,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073938369750976,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073912143707275,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073976516723632,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073974132537841,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073921680450439,1,200,0.05,100,ET,64,2,0.0,./
0,0.0073933601379394,1,200,0.05,100,ET,64,2,0.0,./
